Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0.600026131,-3.437746771,5.156620156,-2.864788976,0.1875,-0.069318182,1.073863636
0.600026131,5.729577951,4.583662361,7.448451337,0.023863636,-0.098863636,1.1375
0.602537155,-5.729577951,-1.718873385,4.583662361,0.126136364,-0.064772727,1.127272727
0.605047703,1.718873385,9.740282517,2.291831181,0.023863636,-0.096590909,1.117045455
0.60755825,-4.010704566,1.14591559,-10.31324031,0.195454545,-0.115909091,0.990909091
0.610068798,-6.302535746,1.718873385,-1.718873385,0.153409091,-0.110227273,1.018181818
0.612579822,-12.0321137,17.18873385,0.572957795,0.1,-0.119318182,1.113636364
0.615089416,11.4591559,8.594366927,1.14591559,0.056818182,-0.104545455,1.089772727
0.617600441,8.021409132,9.740282517,-2.291831181,0.092045455,-0.078409091,1.101136364
0.620110989,4.583662361,24.63718519,0,0.114772727,-0.105681818,1.198863636
0.622622013,18.90760724,36.66929889,-3.437746771,-0.079545455,-0.165909091,1.095454545
0.625132084,-17.18873385,5.729577951,-10.31324031,0.109090909,-0.001136364,1.030681818
0.627642631,-10.31324031,0.572957795,8.021409132,0.047727273,-0.056818182,1.059090909
0.630153656,-13.75098708,-0.572957795,4.010704566,0.034090909,-0.082954545,1.106818182
0.632664204,-2.864788976,4.010704566,2.291831181,0.019318182,-0.093181818,1.078409091
0.635174274,-2.291831181,1.14591559,8.021409132,0.021590909,-0.098863636,1.122727273
0.637684822,-2.864788976,5.156620156,3.437746771,0.014772727,-0.081818182,1.086363636
0.64019537,-2.864788976,3.437746771,-0.572957795,0.034090909,-0.070454545,1.097727273
0.642705917,-1.14591559,5.156620156,1.718873385,0.040909091,-0.078409091,1.090909091
0.645216942,-1.14591559,4.010704566,2.864788976,0.030681818,-0.084090909,1.094318182
0.647727489,-4.010704566,2.291831181,2.864788976,0.015909091,-0.095454545,1.123863636
0.650238037,-5.729577951,-2.291831181,0.572957795,0.025,-0.071590909,1.094318182
0.652748585,-3.437746771,4.583662361,2.291831181,0.085227273,-0.076136364,1.056818182
0.655258655,8.021409132,12.60507149,13.17802929,0.036363636,-0.15,1.201136364
0.657769203,4.583662361,2.291831181,6.875493542,0.019318182,-0.161363636,1.114772727
0.660280228,-10.88619811,4.010704566,8.021409132,0.022727273,-0.156818182,1.092045455
0.662790775,-8.021409132,1.14591559,-1.718873385,0.072727273,-0.205681818,1.1
0.665301323,6.302535746,9.167324722,4.010704566,0.032954545,-0.203409091,1.085227273
0.66781187,5.729577951,5.156620156,-2.291831181,0.040909091,-0.167045455,1.080681818
0.670322418,-1.718873385,-2.291831181,-1.14591559,0.059090909,-0.169318182,1.079545455
0.672833443,-6.302535746,1.718873385,-2.291831181,0.045454545,-0.151136364,1.075
0.67534399,-2.864788976,4.010704566,2.864788976,0.019318182,-0.164772727,1.077272727
0.677854061,-1.14591559,0.572957795,-4.583662361,0.042045455,-0.177272727,1.093181818
0.680364609,-3.437746771,0,-6.875493542,0.046590909,-0.145454545,1.076136364
0.682875156,-4.583662361,5.729577951,-4.010704566,0.010227273,-0.163636364,1.081818182
0.685385704,0.572957795,4.583662361,-2.291831181,0.026136364,-0.146590909,1.080681818
0.687896728,-4.583662361,0.572957795,0.572957795,0.031818182,-0.188636364,1.078409091
0.690407276,-3.437746771,1.718873385,0.572957795,0.0125,-0.1875,1.085227273
0.692917824,-2.291831181,3.437746771,1.718873385,0.007954545,-0.182954545,1.096590909
0.695428371,-3.437746771,2.864788976,0,0.030681818,-0.181818182,1.094318182
0.697938442,-2.864788976,1.718873385,0.572957795,0.002272727,-0.157954545,1.075
0.70044899,-4.010704566,1.718873385,1.14591559,0.007954545,-0.179545455,1.096590909
0.702960014,-3.437746771,2.291831181,1.718873385,0.0375,-0.177272727,1.097727273
0.705470562,1.14591559,3.437746771,0.572957795,0.011363636,-0.164772727,1.069318182
0.70798111,9.167324722,18.33464944,7.448451337,-0.002272727,-0.126136364,1.081818182
0.710491657,32.65859432,41.82591904,15.46986047,-0.007954545,-0.089772727,1.003409091
0.713002205,32.65859432,52.71211715,32.65859432,-0.238636364,0.061363636,0.997727273
0.715513229,33.80450991,50.42028597,38.96113007,-0.234090909,0.128409091,0.982954545
0.718022823,-38.96113007,-41.82591904,36.66929889,-0.179545455,0.270454545,1.286363636
0.720533848,-45.83662361,-47.555497,17.76169165,-0.053409091,0.105681818,1.210227273
0.723044395,-53.28507495,-30.93972094,-6.302535746,0.206818182,-0.0625,1.138636364
0.725554943,-38.96113007,-25.78310078,-9.167324722,0.179545455,-0.122727273,1.072727273
0.728065491,-18.33464944,-10.31324031,-34.37746771,0.563636364,-0.328409091,0.801136364
0.730576515,-33.80450991,-9.167324722,-38.96113007,0.622727273,-0.257954545,0.8375
